LogE,R,G,B
-3.5,3.28,3.414,3.47
-3.449,3.287,3.424,3.478
-3.399,3.294,3.431,3.486
-3.348,3.301,3.438,3.493
-3.298,3.306,3.442,3.499
-3.247,3.309,3.446,3.504
-3.197,3.31,3.448,3.507
-3.146,3.31,3.449,3.509
-3.096,3.31,3.45,3.509
-3.045,3.31,3.45,3.508
-2.995,3.31,3.449,3.507
-2.944,3.31,3.446,3.505
-2.894,3.31,3.441,3.502
-2.843,3.31,3.434,3.5
-2.793,3.309,3.426,3.496
-2.742,3.305,3.416,3.481
-2.692,3.298,3.406,3.455
-2.641,3.29,3.395,3.424
-2.591,3.281,3.382,3.392
-2.54,3.269,3.364,3.363
-2.49,3.252,3.341,3.333
-2.439,3.231,3.315,3.302
-2.389,3.208,3.286,3.269
-2.338,3.18,3.254,3.234
-2.288,3.15,3.217,3.197
-2.237,3.107,3.174,3.157
-2.187,3.051,3.125,3.115
-2.136,2.988,3.069,3.069
-2.086,2.924,3.007,3.021
-2.035,2.861,2.936,2.969
-1.985,2.796,2.858,2.913
-1.934,2.727,2.739,2.853
-1.884,2.653,2.63,2.79
-1.833,2.573,2.531,2.724
-1.783,2.484,2.437,2.65
-1.732,2.378,2.346,2.564
-1.682,2.262,2.258,2.461
-1.631,2.147,2.176,2.31
-1.581,2.036,2.095,2.074
-1.53,1.923,2.014,1.855
-1.48,1.809,1.929,1.729
-1.429,1.699,1.837,1.625
-1.379,1.598,1.737,1.534
-1.328,1.509,1.63,1.453
-1.278,1.432,1.521,1.38
-1.227,1.363,1.413,1.313
-1.177,1.298,1.31,1.251
-1.126,1.232,1.211,1.192
-1.076,1.164,1.111,1.133
-1.025,1.093,1.016,1.074
-0.975,1.02,0.93,1.011
-0.924,0.948,0.858,0.946
-0.874,0.876,0.794,0.88
-0.823,0.807,0.737,0.815
-0.773,0.74,0.683,0.751
-0.722,0.674,0.631,0.69
-0.672,0.609,0.58,0.633
-0.621,0.547,0.525,0.581
-0.571,0.491,0.469,0.534
-0.52,0.443,0.417,0.494
-0.47,0.397,0.372,0.456
-0.419,0.355,0.34,0.421
-0.369,0.316,0.317,0.389
-0.318,0.284,0.297,0.36
-0.268,0.259,0.278,0.333
-0.217,0.239,0.262,0.309
-0.167,0.22,0.248,0.287
-0.116,0.203,0.235,0.265
-0.066,0.187,0.223,0.244
-0.015,0.174,0.212,0.224
0.035,0.164,0.202,0.206
0.086,0.156,0.193,0.189
0.136,0.152,0.184,0.173
0.187,0.15,0.176,0.16
0.237,0.148,0.168,0.149
0.288,0.147,0.161,0.14
0.338,0.146,0.155,0.134
0.389,0.145,0.149,0.127
0.439,0.144,0.144,0.121
0.49,0.143,0.139,0.115
0.54,0.142,0.135,0.109
0.591,0.141,0.131,0.105
0.641,0.139,0.127,0.101
0.692,0.138,0.124,0.097
0.742,0.136,0.121,0.095
0.793,0.135,0.118,0.094
0.843,0.133,0.117,0.094
0.894,0.131,0.115,0.101
0.944,0.13,0.115,0.114
0.995,0.128,0.115,0.129
1.045,0.126,0.116,0.141
1.096,0.124,0.118,0.147
1.146,0.122,0.121,0.143
1.197,0.12,0.125,0.124
1.247,0.119,0.13,0.086
1.298,0.117,0.136,0.025
1.348,0.115,0.144,0.0
1.399,0.113,0.153,0.0
1.449,0.111,0.163,0.0
1.5,0.109,0.174,0.0
