LogE,R,G,B
-4.0,0.234,0.7,1.042
-3.949,0.237,0.697,1.032
-3.899,0.239,0.697,1.023
-3.848,0.242,0.699,1.015
-3.798,0.244,0.702,1.008
-3.747,0.246,0.706,1.002
-3.697,0.249,0.712,0.997
-3.646,0.251,0.718,0.992
-3.596,0.253,0.724,0.989
-3.545,0.256,0.729,0.986
-3.495,0.258,0.734,0.984
-3.444,0.26,0.738,0.983
-3.394,0.262,0.74,0.982
-3.343,0.264,0.741,0.981
-3.293,0.266,0.741,0.98
-3.242,0.268,0.741,0.98
-3.192,0.27,0.741,0.98
-3.141,0.272,0.741,0.98
-3.091,0.274,0.741,0.981
-3.04,0.275,0.741,0.984
-2.99,0.277,0.742,0.987
-2.939,0.279,0.745,0.992
-2.889,0.28,0.75,0.998
-2.838,0.283,0.755,1.004
-2.788,0.285,0.761,1.011
-2.737,0.289,0.766,1.018
-2.687,0.294,0.774,1.03
-2.636,0.3,0.783,1.046
-2.586,0.307,0.793,1.063
-2.535,0.315,0.805,1.082
-2.485,0.323,0.818,1.101
-2.434,0.333,0.833,1.119
-2.384,0.345,0.852,1.135
-2.333,0.358,0.873,1.15
-2.283,0.372,0.897,1.166
-2.232,0.388,0.921,1.182
-2.182,0.406,0.945,1.2
-2.131,0.427,0.968,1.22
-2.081,0.45,0.99,1.244
-2.03,0.474,1.011,1.274
-1.98,0.5,1.032,1.309
-1.929,0.526,1.053,1.347
-1.879,0.553,1.074,1.385
-1.828,0.581,1.097,1.421
-1.778,0.61,1.121,1.453
-1.727,0.641,1.146,1.481
-1.677,0.673,1.174,1.507
-1.626,0.704,1.205,1.533
-1.576,0.735,1.239,1.558
-1.525,0.764,1.274,1.584
-1.475,0.793,1.31,1.613
-1.424,0.821,1.346,1.644
-1.374,0.849,1.38,1.677
-1.323,0.877,1.412,1.712
-1.273,0.905,1.443,1.748
-1.222,0.933,1.473,1.783
-1.172,0.962,1.502,1.817
-1.121,0.992,1.531,1.85
-1.071,1.022,1.56,1.883
-1.02,1.053,1.59,1.916
-0.97,1.084,1.619,1.948
-0.919,1.116,1.65,1.98
-0.869,1.148,1.681,2.011
-0.818,1.18,1.713,2.041
-0.768,1.212,1.746,2.07
-0.717,1.245,1.778,2.099
-0.667,1.277,1.811,2.128
-0.616,1.31,1.843,2.156
-0.566,1.343,1.876,2.184
-0.515,1.376,1.909,2.212
-0.465,1.409,1.943,2.24
-0.414,1.442,1.976,2.269
-0.364,1.475,2.008,2.298
-0.313,1.508,2.037,2.327
-0.263,1.541,2.062,2.356
-0.212,1.574,2.086,2.385
-0.162,1.607,2.107,2.413
-0.111,1.64,2.128,2.441
-0.061,1.671,2.149,2.469
-0.01,1.702,2.171,2.496
0.04,1.731,2.195,2.526
0.091,1.758,2.222,2.557
0.141,1.784,2.252,2.587
0.192,1.811,2.284,2.615
0.242,1.839,2.318,2.64
0.293,1.869,2.354,2.659
0.343,1.9,2.391,2.671
0.394,1.933,2.429,2.678
0.444,1.966,2.468,2.685
0.495,2.001,2.508,2.694
0.545,2.036,2.548,2.703
0.596,2.073,2.587,2.714
0.646,2.11,2.626,2.724
0.697,2.148,2.665,2.736
0.747,2.187,2.702,2.748
0.798,2.227,2.737,2.76
0.848,2.268,2.771,2.773
0.899,2.309,2.803,2.787
0.949,2.351,2.832,2.801
1.0,2.393,2.859,2.815
