log_e,r,g,b
-4.000000,0.313996,0.662821,0.954236
-3.949000,0.295471,0.665657,0.954236
-3.899000,0.277891,0.668492,0.954236
-3.848000,0.262201,0.671328,0.954236
-3.798000,0.247551,0.674163,0.954236
-3.747000,0.233941,0.676054,0.954236
-3.697000,0.222221,0.678889,0.954236
-3.646000,0.210501,0.681725,0.954236
-3.596000,0.201711,0.684560,0.954236
-3.545000,0.192921,0.687396,0.954236
-3.495000,0.186116,0.689286,0.954236
-3.444000,0.180256,0.692121,0.954236
-3.394000,0.175341,0.694012,0.954236
-3.343000,0.172411,0.696847,0.954236
-3.293000,0.170426,0.698737,0.954236
-3.242000,0.169481,0.700628,0.954236
-3.192000,0.170426,0.702518,0.954236
-3.141000,0.172411,0.704408,0.954236
-3.091000,0.176286,0.706299,0.955937
-3.040000,0.181201,0.708189,0.958489
-2.990000,0.186116,0.710079,0.961041
-2.939000,0.191976,0.711970,0.965294
-2.889000,0.198781,0.713860,0.968602
-2.838000,0.209556,0.715750,0.973706
-2.788000,0.220236,0.717641,0.978810
-2.737000,0.230066,0.721421,0.983063
-2.687000,0.235926,0.728037,0.989868
-2.636000,0.239801,0.735599,0.998280
-2.586000,0.241786,0.745050,1.008488
-2.535000,0.242731,0.753557,1.018601
-2.485000,0.245661,0.763008,1.030510
-2.434000,0.249536,0.772460,1.043176
-2.384000,0.258326,0.783802,1.057637
-2.333000,0.270991,0.796089,1.072854
-2.283000,0.286681,0.811212,1.089016
-2.232000,0.304261,0.830115,1.105934
-2.182000,0.322786,0.849963,1.122853
-2.131000,0.340366,0.869812,1.139866
-2.081000,0.359931,0.889660,1.156784
-2.030000,0.381386,0.907618,1.173702
-1.980000,0.404826,0.923686,1.190715
-1.929000,0.428266,0.940699,1.208484
-1.879000,0.452651,0.956766,1.226253
-1.828000,0.478076,0.973779,1.244873
-1.778000,0.502461,0.992683,1.264438
-1.727000,0.526846,1.012531,1.283908
-1.677000,0.552271,1.034270,1.304229
-1.626000,0.578641,1.060734,1.325401
-1.576000,0.605956,1.089089,1.348274
-1.525000,0.633271,1.118389,1.371997
-1.475000,0.661626,1.147689,1.397422
-1.424000,0.692816,1.175099,1.422847
-1.374000,0.725046,1.198728,1.449122
-1.323000,0.758316,1.221412,1.475398
-1.273000,0.791491,1.243150,1.502524
-1.222000,0.822682,1.264889,1.527949
-1.172000,0.851982,1.285683,1.554224
-1.121000,0.877406,1.308366,1.580500
-1.071000,0.901792,1.331996,1.606775
-1.020000,0.925232,1.357515,1.633051
-0.970000,0.948672,1.385870,1.660177
-0.919000,0.972112,1.418005,1.685602
-0.869000,0.998482,1.453921,1.710176
-0.818000,1.027782,1.490783,1.733899
-0.768000,1.058027,1.529534,1.755922
-0.717000,1.091202,1.566396,1.777093
-0.667000,1.123432,1.602312,1.797414
-0.616000,1.156702,1.633502,1.816979
-0.566000,1.187892,1.661857,1.837300
-0.515000,1.218137,1.689266,1.856770
-0.465000,1.245547,1.714786,1.877091
-0.414000,1.271917,1.739360,1.898263
-0.364000,1.297247,1.762989,1.921136
-0.313000,1.321632,1.785673,1.944859
-0.263000,1.345072,1.807412,1.969434
-0.212000,1.368512,1.829150,1.993157
-0.162000,1.391952,1.849944,2.015274
-0.111000,1.416432,1.870737,2.033894
-0.061000,1.440817,1.889641,2.051663
-0.010000,1.466147,1.908544,2.067730
0.040000,1.490627,1.926502,2.083042
0.091000,1.515957,1.943515,2.098259
0.141000,1.539397,1.960528,2.114421
0.192000,1.560947,1.976596,2.131340
0.242000,1.582402,1.991718,2.148258
0.293000,1.602912,2.006841,2.166122
0.343000,1.623422,2.021018,2.183040
0.394000,1.641947,2.035196,2.200809
0.444000,1.660473,2.048428,2.218578
0.495000,1.678053,2.060715,2.237292
0.545000,1.694687,2.072057,2.255061
0.596000,1.710283,2.083399,2.273681
0.646000,1.723987,2.093796,2.292301
0.697000,1.737598,2.102302,2.311866
0.747000,1.749318,2.110808,2.330485
0.798000,1.760093,2.118370,2.349956
0.848000,1.769828,2.124986,2.369426
0.899000,1.777673,2.130657,2.388991
0.949000,1.783533,2.134437,2.409312
1.000000,1.789393,2.138218,2.429633
