LogE,R,G,B
-4.0000,0.2940,0.7820,1.0860
-3.9490,0.2857,0.7730,1.0809
-3.8990,0.2774,0.7650,1.0738
-3.8480,0.2691,0.7580,1.0667
-3.7980,0.2608,0.7500,1.0595
-3.7470,0.2525,0.7430,1.0514
-3.6970,0.2452,0.7360,1.0422
-3.6460,0.2378,0.7300,1.0341
-3.5960,0.2313,0.7240,1.0249
-3.5450,0.2249,0.7190,1.0168
-3.4950,0.2194,0.7150,1.0097
-3.4440,0.2148,0.7110,1.0025
-3.3940,0.2120,0.7080,0.9964
-3.3430,0.2092,0.7070,0.9913
-3.2930,0.2074,0.7060,0.9873
-3.2420,0.2074,0.7060,0.9842
-3.1920,0.2083,0.7080,0.9812
-3.1410,0.2102,0.7100,0.9781
-3.0910,0.2120,0.7130,0.9761
-3.0400,0.2148,0.7160,0.9751
-2.9900,0.2175,0.7190,0.9740
-2.9390,0.2194,0.7220,0.9740
-2.8890,0.2221,0.7260,0.9740
-2.8380,0.2249,0.7300,0.9740
-2.7880,0.2286,0.7360,0.9740
-2.7370,0.2313,0.7410,0.9751
-2.6870,0.2360,0.7470,0.9801
-2.6360,0.2406,0.7540,0.9893
-2.5860,0.2461,0.7610,1.0005
-2.5350,0.2535,0.7700,1.0137
-2.4850,0.2627,0.7790,1.0280
-2.4340,0.2728,0.7910,1.0422
-2.3840,0.2829,0.8030,1.0575
-2.3330,0.2958,0.8190,1.0768
-2.2830,0.3106,0.8380,1.0992
-2.2320,0.3272,0.8590,1.1226
-2.1820,0.3456,0.8820,1.1461
-2.1310,0.3649,0.9040,1.1695
-2.0810,0.3861,0.9260,1.1908
-2.0300,0.4092,0.9490,1.2132
-1.9800,0.4368,0.9720,1.2346
-1.9290,0.4663,0.9970,1.2570
-1.8790,0.4967,1.0220,1.2794
-1.8280,0.5271,1.0490,1.3028
-1.7780,0.5547,1.0770,1.3272
-1.7270,0.5805,1.1080,1.3527
-1.6770,0.6063,1.1400,1.3791
-1.6260,0.6321,1.1730,1.4076
-1.5760,0.6579,1.2070,1.4372
-1.5250,0.6847,1.2390,1.4687
-1.4750,0.7123,1.2710,1.5003
-1.4240,0.7418,1.3020,1.5328
-1.3740,0.7713,1.3330,1.5674
-1.3230,0.8017,1.3640,1.6031
-1.2730,0.8311,1.3940,1.6387
-1.2220,0.8597,1.4230,1.6733
-1.1720,0.8874,1.4500,1.7038
-1.1210,0.9131,1.4770,1.7313
-1.0710,0.9380,1.5030,1.7578
-1.0200,0.9620,1.5280,1.7832
-0.9700,0.9850,1.5520,1.8076
-0.9190,1.0080,1.5760,1.8321
-0.8690,1.0311,1.6000,1.8575
-0.8180,1.0560,1.6230,1.8830
-0.7680,1.0808,1.6460,1.9094
-0.7170,1.1066,1.6700,1.9349
-0.6670,1.1324,1.6930,1.9613
-0.6160,1.1592,1.7170,1.9888
-0.5660,1.1868,1.7400,2.0163
-0.5150,1.2144,1.7620,2.0448
-0.4650,1.2430,1.7840,2.0743
-0.4140,1.2734,1.8060,2.1069
-0.3640,1.3056,1.8280,2.1395
-0.3130,1.3370,1.8500,2.1720
-0.2630,1.3683,1.8730,2.2015
-0.2120,1.3969,1.8970,2.2290
-0.1620,1.4227,1.9220,2.2524
-0.1110,1.4475,1.9480,2.2738
-0.0610,1.4715,1.9770,2.2952
-0.0100,1.4927,2.0070,2.3166
0.0400,1.5130,2.0390,2.3400
0.0910,1.5286,2.0710,2.3675
0.1410,1.5434,2.1020,2.3990
0.1920,1.5563,2.1310,2.4326
0.2420,1.5701,2.1590,2.4611
0.2930,1.5857,2.1870,2.4845
0.3430,1.6051,2.2140,2.5059
0.3940,1.6300,2.2420,2.5262
0.4440,1.6604,2.2690,2.5456
0.4950,1.6945,2.2950,2.5680
0.5450,1.7322,2.3220,2.5914
0.5960,1.7728,2.3490,2.6178
0.6460,1.8152,2.3750,2.6463
0.6970,1.8575,2.4010,2.6759
0.7470,1.8990,2.4260,2.7064
0.7980,1.9386,2.4520,2.7369
0.8480,1.9764,2.4770,2.7675
0.8990,2.0105,2.5020,2.7980
0.9490,2.0390,2.5270,2.8275
1.0000,2.0630,2.5510,2.8550
