LogE,R,G,B
-4.0000,0.2510,0.7270,0.8750
-3.9490,0.2446,0.7110,0.8775
-3.8990,0.2376,0.6970,0.8800
-3.8480,0.2305,0.6850,0.8826
-3.7980,0.2234,0.6750,0.8842
-3.7470,0.2170,0.6650,0.8868
-3.6970,0.2099,0.6580,0.8893
-3.6460,0.2043,0.6510,0.8910
-3.5960,0.1986,0.6460,0.8935
-3.5450,0.1937,0.6410,0.8952
-3.4950,0.1894,0.6380,0.8977
-3.4440,0.1859,0.6350,0.8994
-3.3940,0.1830,0.6330,0.9019
-3.3430,0.1809,0.6320,0.9036
-3.2930,0.1809,0.6310,0.9053
-3.2420,0.1809,0.6300,0.9069
-3.1920,0.1823,0.6300,0.9086
-3.1410,0.1838,0.6300,0.9103
-3.0910,0.1859,0.6300,0.9128
-3.0400,0.1880,0.6320,0.9153
-2.9900,0.1915,0.6360,0.9187
-2.9390,0.1958,0.6420,0.9221
-2.8890,0.2007,0.6490,0.9271
-2.8380,0.2064,0.6560,0.9313
-2.7880,0.2121,0.6640,0.9372
-2.7370,0.2170,0.6720,0.9439
-2.6870,0.2213,0.6790,0.9515
-2.6360,0.2262,0.6860,0.9591
-2.5860,0.2319,0.6930,0.9666
-2.5350,0.2383,0.7000,0.9733
-2.4850,0.2460,0.7090,0.9792
-2.4340,0.2538,0.7170,0.9843
-2.3840,0.2609,0.7270,0.9885
-2.3330,0.2673,0.7370,0.9935
-2.2830,0.2744,0.7490,0.9986
-2.2320,0.2829,0.7610,1.0061
-2.1820,0.2942,0.7750,1.0145
-2.1310,0.3119,0.7900,1.0288
-2.0810,0.3289,0.8060,1.0481
-2.0300,0.3409,0.8230,1.0708
-1.9800,0.3508,0.8410,1.0935
-1.9290,0.3600,0.8590,1.1145
-1.8790,0.3699,0.8780,1.1330
-1.8280,0.3827,0.8990,1.1498
-1.7780,0.3989,0.9210,1.1667
-1.7270,0.4216,0.9440,1.1835
-1.6770,0.4471,0.9700,1.2020
-1.6260,0.4740,0.9970,1.2238
-1.5760,0.4994,1.0250,1.2490
-1.5250,0.5228,1.0550,1.2784
-1.4750,0.5462,1.0860,1.3095
-1.4240,0.5695,1.1200,1.3415
-1.3740,0.5922,1.1580,1.3717
-1.3230,0.6148,1.1990,1.3995
-1.2730,0.6361,1.2410,1.4247
-1.2220,0.6559,1.2810,1.4474
-1.1720,0.6757,1.3200,1.4692
-1.1210,0.6948,1.3540,1.4903
-1.0710,0.7146,1.3860,1.5113
-1.0200,0.7344,1.4160,1.5323
-0.9700,0.7557,1.4450,1.5533
-0.9190,0.7790,1.4740,1.5760
-0.8690,0.8038,1.5010,1.5995
-0.8180,0.8321,1.5290,1.6239
-0.7680,0.8633,1.5580,1.6491
-0.7170,0.8951,1.5870,1.6743
-0.6670,0.9270,1.6180,1.6995
-0.6160,0.9588,1.6510,1.7239
-0.5660,0.9893,1.6860,1.7475
-0.5150,1.0169,1.7230,1.7710
-0.4650,1.0416,1.7610,1.7937
-0.4140,1.0629,1.7990,1.8164
-0.3640,1.0820,1.8340,1.8391
-0.3130,1.0997,1.8670,1.8618
-0.2630,1.1174,1.8970,1.8845
-0.2120,1.1344,1.9230,1.9080
-0.1620,1.1528,1.9470,1.9324
-0.1110,1.1726,1.9700,1.9559
-0.0610,1.1952,1.9930,1.9803
-0.0100,1.2214,2.0170,2.0021
0.0400,1.2512,2.0430,2.0240
0.0910,1.2809,2.0720,2.0433
0.1410,1.3092,2.1060,2.0601
0.1920,1.3347,2.1470,2.0753
0.2420,1.3559,2.1880,2.0904
0.2930,1.3757,2.2250,2.1038
0.3430,1.3948,2.2530,2.1181
0.3940,1.4147,2.2790,2.1333
0.4440,1.4359,2.3030,2.1501
0.4950,1.4600,2.3230,2.1694
0.5450,1.4869,2.3400,2.1912
0.5960,1.5159,2.3520,2.2148
0.6460,1.5470,2.3600,2.2400
0.6970,1.5789,2.3630,2.2652
0.7470,1.6114,2.3590,2.2896
0.7980,1.6433,2.3490,2.3131
0.8480,1.6737,2.3310,2.3341
0.8990,1.7027,2.3060,2.3526
0.9490,1.7296,2.2720,2.3669
1.0000,1.7530,2.2290,2.3770
