log_e,r,g,b
-4.000000,0.093682,0.254609,0.718762
-3.949000,0.097079,0.263667,0.702910
-3.899000,0.101608,0.273857,0.689323
-3.848000,0.106137,0.285180,0.678000
-3.798000,0.110666,0.295370,0.670075
-3.747000,0.115195,0.305561,0.664413
-3.697000,0.119724,0.315751,0.659884
-3.646000,0.125385,0.327073,0.657620
-3.596000,0.131047,0.336132,0.657620
-3.545000,0.135576,0.346322,0.658752
-3.495000,0.142369,0.355380,0.661017
-3.444000,0.148031,0.363306,0.663281
-3.394000,0.153692,0.371232,0.667810
-3.343000,0.160485,0.378025,0.671207
-3.293000,0.166147,0.384819,0.676868
-3.242000,0.172940,0.388215,0.683662
-3.192000,0.179734,0.392744,0.690455
-3.141000,0.186527,0.397273,0.699513
-3.091000,0.193321,0.401802,0.708571
-3.040000,0.200114,0.409728,0.716497
-2.990000,0.206908,0.423315,0.725555
-2.939000,0.214834,0.440299,0.735746
-2.889000,0.221627,0.459548,0.745936
-2.838000,0.228421,0.475399,0.758391
-2.788000,0.236347,0.488986,0.770846
-2.737000,0.245405,0.500309,0.785565
-2.687000,0.254463,0.511632,0.801417
-2.636000,0.264653,0.524086,0.819533
-2.586000,0.274843,0.536541,0.838781
-2.535000,0.288431,0.550128,0.859162
-2.485000,0.304282,0.567112,0.879542
-2.434000,0.322398,0.586361,0.902188
-2.384000,0.339382,0.607873,0.925965
-2.333000,0.356366,0.631651,0.950875
-2.283000,0.372218,0.656561,0.975784
-2.232000,0.385805,0.683735,1.001826
-2.182000,0.398260,0.712041,1.029000
-2.131000,0.411847,0.743744,1.056175
-2.081000,0.425434,0.779977,1.084481
-2.030000,0.442418,0.819606,1.115052
-1.980000,0.461666,0.861499,1.145623
-1.929000,0.485443,0.903393,1.177326
-1.879000,0.511485,0.946419,1.211294
-1.828000,0.539792,0.986048,1.246394
-1.778000,0.571495,1.024544,1.282626
-1.727000,0.603198,1.060777,1.318858
-1.677000,0.637166,1.097009,1.356223
-1.626000,0.672266,1.134373,1.392455
-1.576000,0.710763,1.171738,1.428688
-1.525000,0.752656,1.210235,1.462655
-1.475000,0.795682,1.250996,1.494358
-1.424000,0.839840,1.294022,1.526062
-1.374000,0.881734,1.339312,1.558897
-1.323000,0.921363,1.384602,1.593997
-1.273000,0.959860,1.431025,1.633626
-1.222000,0.997224,1.476315,1.677784
-1.172000,1.035721,1.520473,1.734397
-1.121000,1.075350,1.563499,1.802333
-1.071000,1.118376,1.605393,1.872533
-1.020000,1.163666,1.647286,1.934807
-0.970000,1.211221,1.688048,1.993684
-0.919000,1.259908,1.728809,2.050297
-0.869000,1.308595,1.769570,2.104646
-0.818000,1.358414,1.808067,2.154465
-0.768000,1.408234,1.846564,2.199755
-0.717000,1.459185,1.881664,2.239384
-0.667000,1.510137,1.915632,2.276749
-0.616000,1.561089,1.950732,2.311849
-0.566000,1.610908,1.988096,2.349213
-0.515000,1.658463,2.027725,2.389975
-0.465000,1.703753,2.071883,2.436397
-0.414000,1.745647,2.121702,2.489613
-0.364000,1.787540,2.173786,2.546226
-0.313000,1.829434,2.227002,2.601707
-0.263000,1.872460,2.282483,2.654923
-0.212000,1.916618,2.336832,2.708139
-0.162000,1.961908,2.388915,2.760223
-0.111000,2.007198,2.438735,2.810042
-0.061000,2.052489,2.485157,2.854200
-0.010000,2.100043,2.530448,2.893829
0.040000,2.147598,2.576870,2.930062
0.091000,2.197418,2.624425,2.964029
0.141000,2.248369,2.674244,3.000262
0.192000,2.301585,2.728593,3.041023
0.242000,2.355934,2.784073,3.089710
0.293000,2.412547,2.842951,3.144058
0.343000,2.470292,2.904093,3.204068
0.394000,2.528037,2.966367,3.268607
0.444000,2.588047,3.029773,3.333146
0.495000,2.648056,3.094312,3.398817
0.545000,2.709198,3.158851,3.461091
0.596000,2.770340,3.224522,3.500000
0.646000,2.832614,3.289061,3.500000
0.697000,2.894889,3.353599,3.500000
0.747000,2.957163,3.417006,3.500000
0.798000,3.018305,3.479280,3.500000
0.848000,3.080579,3.500000,3.500000
0.899000,3.141721,3.500000,3.500000
0.949000,3.202863,3.500000,3.500000
1.000000,3.262873,3.500000,3.500000
