log_e,r,g,b
-4.000000,0.418922,0.578409,1.046217
-3.949000,0.392541,0.582957,1.041669
-3.899000,0.369799,0.582047,1.038030
-3.848000,0.349786,0.576589,1.033482
-3.798000,0.332502,0.568402,1.028934
-3.747000,0.318857,0.556576,1.024385
-3.697000,0.307031,0.543841,1.020747
-3.646000,0.297025,0.530196,1.016198
-3.596000,0.288838,0.515641,1.012559
-3.545000,0.283380,0.501996,1.008011
-3.495000,0.278831,0.490170,1.004372
-3.444000,0.275193,0.481073,1.001643
-3.394000,0.273373,0.474705,0.998914
-3.343000,0.272463,0.471976,0.996185
-3.293000,0.271554,0.472886,0.993456
-3.242000,0.271554,0.475615,0.991637
-3.192000,0.271554,0.480163,0.989817
-3.141000,0.275193,0.486531,0.987998
-3.091000,0.282470,0.491989,0.986179
-3.040000,0.291567,0.499267,0.985269
-2.990000,0.301573,0.507454,0.984359
-2.939000,0.310670,0.518370,0.984359
-2.889000,0.317947,0.529286,0.986179
-2.838000,0.325225,0.541112,0.988908
-2.788000,0.332502,0.555667,0.991637
-2.737000,0.338870,0.572041,0.996185
-2.687000,0.345238,0.589325,1.001643
-2.636000,0.351605,0.604789,1.009830
-2.586000,0.357973,0.618434,1.020747
-2.535000,0.363431,0.629350,1.031663
-2.485000,0.367980,0.639357,1.044398
-2.434000,0.372528,0.648454,1.057134
-2.384000,0.377076,0.657550,1.071688
-2.333000,0.382534,0.667557,1.088972
-2.283000,0.389812,0.679383,1.107166
-2.232000,0.398909,0.693028,1.126269
-2.182000,0.414373,0.709402,1.146282
-2.131000,0.437115,0.726686,1.165385
-2.081000,0.463496,0.746699,1.185398
-2.030000,0.490786,0.767621,1.205411
-1.980000,0.514438,0.788544,1.226334
-1.929000,0.536270,0.811286,1.248166
-1.879000,0.556283,0.834938,1.269998
-1.828000,0.576296,0.860409,1.291830
-1.778000,0.596309,0.886789,1.314572
-1.727000,0.616322,0.914989,1.336405
-1.677000,0.637244,0.943189,1.359147
-1.626000,0.658167,0.972299,1.380979
-1.576000,0.680909,1.001409,1.402811
-1.525000,0.704560,1.030518,1.425553
-1.475000,0.730031,1.061447,1.447385
-1.424000,0.755502,1.093286,1.471037
-1.374000,0.781883,1.125125,1.495598
-1.323000,0.810083,1.157873,1.521069
-1.273000,0.838283,1.190621,1.549269
-1.222000,0.868302,1.223370,1.580198
-1.172000,0.898322,1.256118,1.613856
-1.121000,0.930160,1.288867,1.649334
-1.071000,0.961999,1.320705,1.685721
-1.020000,0.996567,1.352544,1.721198
-0.970000,1.032954,1.384383,1.756676
-0.919000,1.071160,1.416221,1.791243
-0.869000,1.110276,1.448970,1.826721
-0.818000,1.149393,1.480809,1.861288
-0.768000,1.188509,1.512647,1.896766
-0.717000,1.226715,1.543576,1.931334
-0.667000,1.262193,1.574505,1.964992
-0.616000,1.297670,1.604525,1.998650
-0.566000,1.332238,1.634544,2.030488
-0.515000,1.366805,1.662744,2.062327
-0.465000,1.399554,1.690944,2.094166
-0.414000,1.432302,1.717325,2.125095
-0.364000,1.465051,1.743705,2.155114
-0.313000,1.495980,1.770086,2.186043
-0.263000,1.526909,1.796467,2.216972
-0.212000,1.556928,1.822847,2.247901
-0.162000,1.586947,1.851047,2.278830
-0.111000,1.616057,1.879247,2.308850
-0.061000,1.645167,1.909267,2.339779
-0.010000,1.672457,1.940196,2.370708
0.040000,1.700657,1.971125,2.402547
0.091000,1.727038,2.002963,2.436205
0.141000,1.753418,2.034802,2.470772
0.192000,1.778889,2.066641,2.506250
0.242000,1.803451,2.098480,2.543547
0.293000,1.828012,2.130318,2.581753
0.343000,1.851663,2.163067,2.619959
0.394000,1.875315,2.194905,2.659985
0.444000,1.897147,2.226744,2.700011
0.495000,1.919889,2.258583,2.740037
0.545000,1.940812,2.289512,2.780063
0.596000,1.961734,2.319531,2.820998
0.646000,1.981747,2.348641,2.861934
0.697000,2.001760,2.377750,2.901959
0.747000,2.019954,2.404131,2.941985
0.798000,2.039057,2.430512,2.982011
0.848000,2.056341,2.455073,3.021127
0.899000,2.073625,2.477815,3.060243
0.949000,2.089999,2.498738,3.097540
1.000000,2.106373,2.517841,3.134837
