LogE,R,G,B
-3.5,3.273,3.508,3.552
-3.449,3.268,3.514,3.565
-3.399,3.262,3.52,3.574
-3.348,3.256,3.526,3.581
-3.298,3.251,3.532,3.586
-3.247,3.247,3.537,3.589
-3.197,3.244,3.541,3.591
-3.146,3.242,3.545,3.592
-3.096,3.242,3.547,3.592
-3.045,3.242,3.549,3.591
-2.995,3.242,3.551,3.587
-2.944,3.242,3.553,3.579
-2.894,3.242,3.555,3.568
-2.843,3.242,3.556,3.555
-2.793,3.242,3.557,3.54
-2.742,3.242,3.557,3.524
-2.692,3.239,3.555,3.508
-2.641,3.233,3.549,3.489
-2.591,3.225,3.538,3.464
-2.54,3.214,3.524,3.435
-2.49,3.201,3.508,3.403
-2.439,3.187,3.488,3.368
-2.389,3.171,3.452,3.329
-2.338,3.148,3.403,3.283
-2.288,3.115,3.35,3.232
-2.237,3.074,3.297,3.176
-2.187,3.028,3.239,3.119
-2.136,2.978,3.176,3.06
-2.086,2.925,3.108,2.998
-2.035,2.863,3.037,2.931
-1.985,2.793,2.96,2.858
-1.934,2.713,2.873,2.776
-1.884,2.623,2.769,2.68
-1.833,2.502,2.638,2.553
-1.783,2.35,2.494,2.41
-1.732,2.194,2.359,2.274
-1.682,2.059,2.235,2.161
-1.631,1.946,2.114,2.06
-1.581,1.84,1.997,1.966
-1.53,1.74,1.884,1.877
-1.48,1.645,1.778,1.796
-1.429,1.555,1.678,1.721
-1.379,1.468,1.584,1.645
-1.328,1.385,1.495,1.562
-1.278,1.305,1.41,1.469
-1.227,1.228,1.326,1.37
-1.177,1.155,1.244,1.274
-1.126,1.086,1.162,1.188
-1.076,1.021,1.081,1.11
-1.025,0.961,1.002,1.036
-0.975,0.905,0.927,0.965
-0.924,0.853,0.855,0.894
-0.874,0.803,0.789,0.822
-0.823,0.753,0.728,0.746
-0.773,0.702,0.67,0.668
-0.722,0.649,0.615,0.593
-0.672,0.59,0.563,0.524
-0.621,0.524,0.514,0.465
-0.571,0.457,0.468,0.417
-0.52,0.397,0.425,0.371
-0.47,0.35,0.382,0.331
-0.419,0.314,0.34,0.297
-0.369,0.281,0.303,0.271
-0.318,0.252,0.273,0.25
-0.268,0.228,0.252,0.232
-0.217,0.208,0.235,0.215
-0.167,0.193,0.219,0.201
-0.116,0.18,0.204,0.188
-0.066,0.169,0.19,0.177
-0.015,0.159,0.177,0.169
0.035,0.151,0.166,0.162
0.086,0.144,0.155,0.157
0.136,0.138,0.147,0.152
0.187,0.132,0.139,0.147
0.237,0.127,0.134,0.144
0.288,0.122,0.13,0.141
0.338,0.119,0.128,0.14
0.389,0.117,0.128,0.14
0.439,0.117,0.128,0.14
0.49,0.117,0.128,0.14
0.54,0.117,0.128,0.14
0.591,0.117,0.128,0.14
0.641,0.117,0.128,0.14
0.692,0.117,0.128,0.139
0.742,0.117,0.128,0.137
0.793,0.117,0.128,0.135
0.843,0.123,0.128,0.132
0.894,0.131,0.128,0.129
0.944,0.131,0.128,0.126
0.995,0.116,0.128,0.123
1.045,0.077,0.128,0.12
1.096,0.004,0.128,0.118
1.146,0.0,0.128,0.116
1.197,0.0,0.128,0.115
1.247,0.0,0.128,0.115
1.298,0.0,0.128,0.116
1.348,0.0,0.128,0.118
1.399,0.0,0.128,0.121
1.449,0.0,0.128,0.127
1.5,0.0,0.128,0.133
