LogE,R,G,B
-4.5,3.135,3.32,2.893
-4.449,3.145,3.332,2.95
-4.399,3.154,3.343,3.001
-4.348,3.161,3.352,3.046
-4.298,3.168,3.36,3.087
-4.247,3.173,3.366,3.123
-4.197,3.177,3.372,3.154
-4.146,3.18,3.376,3.181
-4.096,3.183,3.379,3.205
-4.045,3.185,3.382,3.225
-3.995,3.186,3.383,3.241
-3.944,3.186,3.384,3.255
-3.894,3.186,3.384,3.266
-3.843,3.185,3.383,3.274
-3.793,3.184,3.381,3.281
-3.742,3.182,3.38,3.285
-3.692,3.18,3.377,3.288
-3.641,3.178,3.375,3.29
-3.591,3.176,3.372,3.291
-3.54,3.173,3.368,3.291
-3.49,3.169,3.363,3.288
-3.439,3.164,3.355,3.281
-3.389,3.157,3.347,3.272
-3.338,3.15,3.337,3.261
-3.288,3.141,3.326,3.248
-3.237,3.132,3.312,3.234
-3.187,3.121,3.293,3.219
-3.136,3.11,3.271,3.2
-3.086,3.098,3.246,3.175
-3.035,3.083,3.219,3.146
-2.985,3.065,3.191,3.111
-2.934,3.044,3.16,3.072
-2.884,3.019,3.124,3.029
-2.833,2.991,3.082,2.981
-2.783,2.959,3.028,2.931
-2.732,2.922,2.95,2.876
-2.682,2.882,2.852,2.808
-2.631,2.828,2.744,2.718
-2.581,2.744,2.636,2.618
-2.53,2.638,2.533,2.519
-2.48,2.521,2.423,2.431
-2.429,2.402,2.312,2.349
-2.379,2.291,2.205,2.269
-2.328,2.192,2.109,2.189
-2.278,2.094,2.024,2.107
-2.227,1.997,1.944,2.019
-2.177,1.899,1.869,1.922
-2.126,1.799,1.796,1.806
-2.076,1.692,1.725,1.676
-2.025,1.577,1.652,1.553
-1.975,1.46,1.577,1.453
-1.924,1.345,1.498,1.366
-1.874,1.239,1.413,1.287
-1.823,1.147,1.324,1.214
-1.773,1.072,1.234,1.144
-1.722,1.005,1.144,1.076
-1.672,0.942,1.056,1.01
-1.621,0.884,0.974,0.947
-1.571,0.83,0.898,0.887
-1.52,0.778,0.83,0.829
-1.47,0.729,0.77,0.772
-1.419,0.683,0.711,0.717
-1.369,0.637,0.655,0.662
-1.318,0.593,0.602,0.608
-1.268,0.548,0.551,0.556
-1.217,0.503,0.503,0.508
-1.167,0.458,0.459,0.463
-1.116,0.412,0.418,0.423
-1.066,0.367,0.381,0.384
-1.015,0.326,0.349,0.348
-0.965,0.289,0.32,0.315
-0.914,0.258,0.293,0.287
-0.864,0.232,0.269,0.262
-0.813,0.207,0.247,0.24
-0.763,0.185,0.227,0.218
-0.712,0.166,0.209,0.199
-0.662,0.15,0.193,0.181
-0.611,0.138,0.177,0.166
-0.561,0.128,0.163,0.154
-0.51,0.12,0.15,0.144
-0.46,0.112,0.139,0.136
-0.409,0.106,0.128,0.129
-0.359,0.1,0.118,0.123
-0.308,0.095,0.109,0.117
-0.258,0.09,0.1,0.11
-0.207,0.085,0.091,0.102
-0.157,0.08,0.084,0.091
-0.106,0.076,0.077,0.08
-0.056,0.073,0.072,0.071
-0.005,0.07,0.067,0.07
0.045,0.068,0.064,0.07
0.096,0.066,0.062,0.07
0.146,0.065,0.061,0.071
0.197,0.066,0.061,0.072
0.247,0.067,0.064,0.073
0.298,0.069,0.068,0.074
0.348,0.072,0.074,0.075
0.399,0.076,0.081,0.077
0.449,0.081,0.091,0.079
0.5,0.088,0.103,0.081
