LogE,R,G,B
-3.5,3.38,3.825,3.696
-3.449,3.38,3.825,3.696
-3.399,3.38,3.825,3.696
-3.348,3.38,3.825,3.696
-3.298,3.38,3.825,3.696
-3.247,3.38,3.825,3.696
-3.197,3.38,3.825,3.696
-3.146,3.38,3.825,3.696
-3.096,3.38,3.825,3.696
-3.045,3.381,3.825,3.696
-2.995,3.383,3.825,3.696
-2.944,3.386,3.825,3.695
-2.894,3.39,3.825,3.69
-2.843,3.395,3.825,3.683
-2.793,3.398,3.825,3.674
-2.742,3.402,3.825,3.666
-2.692,3.403,3.821,3.657
-2.641,3.403,3.814,3.649
-2.591,3.399,3.803,3.641
-2.54,3.392,3.791,3.632
-2.49,3.383,3.778,3.621
-2.439,3.371,3.761,3.608
-2.389,3.356,3.74,3.592
-2.338,3.341,3.714,3.57
-2.288,3.322,3.685,3.542
-2.237,3.291,3.653,3.51
-2.187,3.253,3.619,3.475
-2.136,3.215,3.582,3.432
-2.086,3.182,3.542,3.379
-2.035,3.151,3.496,3.319
-1.985,3.116,3.441,3.254
-1.934,3.073,3.377,3.187
-1.884,3.013,3.298,3.116
-1.833,2.912,3.173,3.032
-1.783,2.791,3.031,2.927
-1.732,2.667,2.886,2.761
-1.682,2.531,2.732,2.568
-1.631,2.397,2.576,2.356
-1.581,2.274,2.413,2.183
-1.53,2.155,2.248,2.063
-1.48,2.038,2.088,1.967
-1.429,1.922,1.942,1.882
-1.379,1.804,1.809,1.798
-1.328,1.682,1.679,1.703
-1.278,1.557,1.537,1.585
-1.227,1.432,1.384,1.431
-1.177,1.31,1.24,1.288
-1.126,1.193,1.129,1.182
-1.076,1.086,1.049,1.089
-1.025,0.988,0.983,1.005
-0.975,0.892,0.924,0.927
-0.924,0.799,0.865,0.853
-0.874,0.712,0.8,0.785
-0.823,0.63,0.733,0.721
-0.773,0.558,0.666,0.659
-0.722,0.496,0.601,0.595
-0.672,0.444,0.541,0.531
-0.621,0.395,0.487,0.471
-0.571,0.349,0.44,0.417
-0.52,0.307,0.394,0.374
-0.47,0.27,0.348,0.344
-0.419,0.238,0.305,0.32
-0.369,0.213,0.266,0.298
-0.318,0.195,0.232,0.279
-0.268,0.179,0.207,0.262
-0.217,0.165,0.19,0.246
-0.167,0.152,0.182,0.233
-0.116,0.141,0.175,0.221
-0.066,0.132,0.168,0.21
-0.015,0.124,0.163,0.201
0.035,0.119,0.158,0.193
0.086,0.116,0.154,0.185
0.136,0.114,0.15,0.177
0.187,0.112,0.147,0.17
0.237,0.11,0.145,0.163
0.288,0.108,0.142,0.157
0.338,0.107,0.14,0.151
0.389,0.106,0.139,0.147
0.439,0.105,0.137,0.144
0.49,0.105,0.135,0.141
0.54,0.105,0.134,0.14
0.591,0.106,0.132,0.14
0.641,0.106,0.131,0.14
0.692,0.107,0.13,0.14
0.742,0.108,0.129,0.14
0.793,0.109,0.129,0.14
0.843,0.111,0.129,0.14
0.894,0.112,0.129,0.14
0.944,0.115,0.129,0.14
0.995,0.117,0.13,0.14
1.045,0.12,0.131,0.14
1.096,0.123,0.133,0.14
1.146,0.126,0.135,0.14
1.197,0.13,0.137,0.14
1.247,0.134,0.14,0.14
1.298,0.139,0.144,0.14
1.348,0.144,0.148,0.14
1.399,0.149,0.153,0.14
1.449,0.155,0.158,0.14
1.5,0.161,0.164,0.14
