LogE,R,G,B
-3.0,3.336,3.788,3.686
-2.955,3.336,3.792,3.691
-2.909,3.336,3.795,3.694
-2.864,3.336,3.797,3.696
-2.818,3.336,3.798,3.697
-2.773,3.336,3.798,3.696
-2.727,3.336,3.797,3.695
-2.682,3.336,3.795,3.693
-2.636,3.336,3.792,3.69
-2.591,3.336,3.789,3.687
-2.545,3.335,3.785,3.683
-2.5,3.334,3.781,3.678
-2.455,3.332,3.776,3.673
-2.409,3.329,3.771,3.668
-2.364,3.326,3.766,3.661
-2.318,3.323,3.759,3.653
-2.273,3.319,3.749,3.642
-2.227,3.316,3.737,3.629
-2.182,3.312,3.724,3.614
-2.136,3.308,3.708,3.598
-2.091,3.303,3.69,3.579
-2.045,3.297,3.67,3.558
-2.0,3.289,3.644,3.532
-1.955,3.278,3.608,3.499
-1.909,3.264,3.563,3.457
-1.864,3.246,3.511,3.409
-1.818,3.225,3.452,3.355
-1.773,3.2,3.381,3.295
-1.727,3.172,3.29,3.215
-1.682,3.134,3.186,3.114
-1.636,3.079,3.076,3.0
-1.591,3.01,2.966,2.882
-1.545,2.929,2.858,2.767
-1.5,2.841,2.744,2.65
-1.455,2.748,2.627,2.528
-1.409,2.643,2.508,2.411
-1.364,2.512,2.387,2.3
-1.318,2.375,2.259,2.191
-1.273,2.247,2.127,2.085
-1.227,2.121,2.0,1.982
-1.182,2.001,1.887,1.88
-1.136,1.892,1.787,1.779
-1.091,1.79,1.694,1.68
-1.045,1.695,1.605,1.585
-1.0,1.604,1.52,1.493
-0.955,1.517,1.436,1.406
-0.909,1.433,1.352,1.323
-0.864,1.353,1.267,1.244
-0.818,1.275,1.182,1.168
-0.773,1.2,1.101,1.096
-0.727,1.128,1.023,1.027
-0.682,1.059,0.952,0.958
-0.636,0.992,0.886,0.89
-0.591,0.925,0.824,0.824
-0.545,0.859,0.764,0.761
-0.5,0.789,0.707,0.701
-0.455,0.715,0.652,0.646
-0.409,0.642,0.599,0.597
-0.364,0.573,0.549,0.55
-0.318,0.51,0.5,0.506
-0.273,0.457,0.452,0.463
-0.227,0.418,0.404,0.422
-0.182,0.386,0.359,0.385
-0.136,0.359,0.319,0.35
-0.091,0.335,0.287,0.319
-0.045,0.313,0.261,0.291
0.0,0.292,0.237,0.266
0.045,0.272,0.217,0.242
0.091,0.251,0.2,0.219
0.136,0.227,0.186,0.198
0.182,0.201,0.174,0.18
0.227,0.176,0.162,0.165
0.273,0.154,0.151,0.155
0.318,0.136,0.141,0.149
0.364,0.125,0.132,0.144
0.409,0.121,0.125,0.14
0.455,0.118,0.119,0.136
0.5,0.116,0.116,0.133
0.545,0.114,0.116,0.131
0.591,0.112,0.116,0.13
0.636,0.11,0.116,0.13
0.682,0.109,0.117,0.133
0.727,0.109,0.118,0.139
0.773,0.108,0.119,0.145
0.818,0.108,0.12,0.15
0.864,0.11,0.121,0.152
0.909,0.112,0.123,0.151
0.955,0.115,0.125,0.151
1.0,0.12,0.129,0.149
1.045,0.124,0.132,0.146
1.091,0.129,0.134,0.141
1.136,0.135,0.134,0.135
1.182,0.14,0.131,0.127
1.227,0.146,0.123,0.116
1.273,0.151,0.11,0.103
1.318,0.156,0.09,0.087
1.364,0.16,0.062,0.068
1.409,0.164,0.025,0.045
1.455,0.167,0.0,0.019
1.5,0.168,0.0,0.0
