log_e,r,g,b
-3.000000,0.110029,0.456934,0.574882
-2.949000,0.112419,0.456934,0.580460
-2.899000,0.114810,0.456137,0.586037
-2.848000,0.117200,0.456137,0.593208
-2.798000,0.119590,0.456934,0.599582
-2.747000,0.121981,0.456934,0.605957
-2.697000,0.124371,0.457731,0.610737
-2.646000,0.126761,0.458528,0.614721
-2.596000,0.128355,0.459324,0.615518
-2.545000,0.129152,0.460121,0.615518
-2.495000,0.129948,0.460918,0.615518
-2.444000,0.130745,0.462512,0.615518
-2.394000,0.131542,0.464902,0.615518
-2.343000,0.132339,0.468886,0.618705
-2.293000,0.133135,0.473666,0.630657
-2.242000,0.133932,0.480041,0.648186
-2.192000,0.137119,0.486415,0.667308
-2.141000,0.144290,0.494383,0.684837
-2.091000,0.155445,0.502350,0.702366
-2.040000,0.168193,0.511115,0.721489
-1.990000,0.183332,0.522270,0.741408
-1.939000,0.206439,0.536612,0.762124
-1.889000,0.235919,0.553344,0.783637
-1.838000,0.263010,0.572466,0.804353
-1.788000,0.283726,0.592386,0.825070
-1.737000,0.302848,0.613102,0.844989
-1.687000,0.319581,0.634615,0.867299
-1.636000,0.335516,0.655331,0.891202
-1.586000,0.350655,0.676047,0.920682
-1.535000,0.365793,0.697560,0.954944
-1.485000,0.380932,0.719870,0.987611
-1.434000,0.396868,0.742976,1.016295
-1.384000,0.413600,0.766879,1.044182
-1.333000,0.431926,0.790783,1.071273
-1.283000,0.451845,0.815483,1.098363
-1.232000,0.474155,0.839386,1.124657
-1.182000,0.498058,0.864883,1.152544
-1.131000,0.524352,0.890379,1.179634
-1.081000,0.550645,0.917470,1.207521
-1.030000,0.577735,0.943763,1.234611
-0.980000,0.604826,0.970853,1.262499
-0.929000,0.631916,0.996350,1.289589
-0.879000,0.657413,1.021050,1.315882
-0.828000,0.682113,1.044157,1.342176
-0.778000,0.705219,1.066466,1.367673
-0.727000,0.727529,1.088776,1.393170
-0.677000,0.749042,1.110289,1.417870
-0.626000,0.770555,1.132599,1.441773
-0.576000,0.792068,1.154908,1.466473
-0.525000,0.813581,1.178015,1.491173
-0.475000,0.835890,1.202715,1.515873
-0.424000,0.858200,1.228212,1.541370
-0.374000,0.882103,1.254505,1.566866
-0.323000,0.906006,1.280799,1.593957
-0.273000,0.930706,1.306295,1.621844
-0.222000,0.955406,1.331792,1.649731
-0.172000,0.980903,1.354899,1.676821
-0.121000,1.005603,1.376412,1.703115
-0.071000,1.029506,1.397128,1.728611
-0.020000,1.051816,1.416250,1.754108
0.030000,1.074922,1.436170,1.778011
0.081000,1.097232,1.455292,1.802711
0.131000,1.118745,1.475212,1.825818
0.182000,1.139461,1.495131,1.848128
0.232000,1.160177,1.515847,1.869640
0.283000,1.179300,1.535766,1.890357
0.333000,1.197626,1.556483,1.911073
0.384000,1.214358,1.577199,1.931789
0.434000,1.231887,1.597118,1.953302
0.485000,1.248619,1.617834,1.975611
0.535000,1.266148,1.638550,1.999515
0.586000,1.284474,1.659266,2.025011
0.636000,1.303597,1.679983,2.052102
0.687000,1.322719,1.700699,2.079192
0.737000,1.341045,1.720618,2.105486
0.788000,1.360168,1.739741,2.127795
0.838000,1.377697,1.758863,2.147715
0.889000,1.395226,1.777986,2.168431
0.939000,1.411161,1.796312,2.192334
0.990000,1.427097,1.814637,2.223408
1.040000,1.443032,1.832963,2.263247
1.091000,1.458171,1.850492,2.311053
1.141000,1.472513,1.868021,2.362844
1.192000,1.486855,1.884753,2.417024
1.242000,1.501197,1.901486,2.471205
1.293000,1.513945,1.918218,2.522199
1.343000,1.526693,1.934153,2.568411
1.394000,1.539442,1.949292,2.606657
1.444000,1.551393,1.964431,2.634544
1.495000,1.562548,1.978773,2.650479
1.545000,1.573703,1.993115,2.650479
1.596000,1.584858,2.006660,2.633747
1.646000,1.594419,2.019408,2.597095
1.697000,1.603981,2.032157,2.538134
1.747000,1.613542,2.044108,2.453676
1.798000,1.622306,2.055263,2.342924
1.848000,1.630274,2.065621,2.201895
1.899000,1.638242,2.075979,2.028199
1.949000,1.645413,2.085541,1.820240
2.000000,1.652584,2.094305,1.574834
