LogE,R,G,B
-4.0,0.31,0.965,1.003
-3.949,0.31,0.936,1.003
-3.899,0.31,0.909,1.003
-3.848,0.31,0.884,1.003
-3.798,0.31,0.861,1.003
-3.747,0.31,0.841,1.003
-3.697,0.31,0.823,1.003
-3.646,0.31,0.806,1.003
-3.596,0.31,0.791,1.003
-3.545,0.31,0.778,1.003
-3.495,0.31,0.767,1.003
-3.444,0.31,0.757,1.003
-3.394,0.31,0.748,1.003
-3.343,0.31,0.74,1.003
-3.293,0.31,0.734,1.003
-3.242,0.31,0.729,1.003
-3.192,0.31,0.725,1.003
-3.141,0.31,0.721,1.003
-3.091,0.31,0.719,1.003
-3.04,0.31,0.717,1.003
-2.99,0.31,0.716,1.003
-2.939,0.31,0.715,1.003
-2.889,0.31,0.714,1.003
-2.838,0.31,0.714,1.003
-2.788,0.31,0.714,1.005
-2.737,0.312,0.714,1.012
-2.687,0.316,0.718,1.02
-2.636,0.322,0.727,1.027
-2.586,0.33,0.738,1.036
-2.535,0.339,0.751,1.045
-2.485,0.348,0.765,1.056
-2.434,0.359,0.778,1.068
-2.384,0.374,0.794,1.082
-2.333,0.391,0.811,1.099
-2.283,0.41,0.83,1.121
-2.232,0.43,0.851,1.145
-2.182,0.449,0.872,1.17
-2.131,0.47,0.894,1.197
-2.081,0.492,0.916,1.223
-2.03,0.515,0.94,1.25
-1.98,0.539,0.965,1.279
-1.929,0.563,0.99,1.31
-1.879,0.588,1.017,1.341
-1.828,0.614,1.044,1.372
-1.778,0.639,1.072,1.404
-1.727,0.665,1.1,1.436
-1.677,0.691,1.13,1.468
-1.626,0.718,1.16,1.499
-1.576,0.743,1.192,1.53
-1.525,0.769,1.224,1.561
-1.475,0.796,1.256,1.592
-1.424,0.823,1.288,1.624
-1.374,0.85,1.319,1.656
-1.323,0.877,1.35,1.688
-1.273,0.905,1.38,1.722
-1.222,0.933,1.41,1.757
-1.172,0.961,1.44,1.793
-1.121,0.989,1.469,1.829
-1.071,1.017,1.499,1.866
-1.02,1.044,1.528,1.903
-0.97,1.072,1.557,1.94
-0.919,1.099,1.586,1.975
-0.869,1.126,1.615,2.011
-0.818,1.154,1.643,2.046
-0.768,1.181,1.671,2.08
-0.717,1.208,1.699,2.115
-0.667,1.236,1.727,2.149
-0.616,1.263,1.754,2.183
-0.566,1.291,1.782,2.216
-0.515,1.319,1.808,2.249
-0.465,1.347,1.835,2.281
-0.414,1.375,1.862,2.313
-0.364,1.403,1.889,2.344
-0.313,1.431,1.915,2.374
-0.263,1.46,1.942,2.405
-0.212,1.488,1.968,2.437
-0.162,1.516,1.995,2.468
-0.111,1.544,2.022,2.501
-0.061,1.571,2.049,2.534
-0.01,1.599,2.077,2.567
0.04,1.627,2.104,2.6
0.091,1.655,2.131,2.631
0.141,1.682,2.157,2.662
0.192,1.708,2.184,2.691
0.242,1.733,2.21,2.719
0.293,1.757,2.235,2.746
0.343,1.78,2.261,2.773
0.394,1.802,2.286,2.799
0.444,1.824,2.311,2.825
0.495,1.845,2.335,2.849
0.545,1.866,2.359,2.873
0.596,1.887,2.381,2.897
0.646,1.907,2.403,2.921
0.697,1.927,2.424,2.945
0.747,1.947,2.444,2.969
0.798,1.966,2.464,2.993
0.848,1.984,2.483,3.017
0.899,2.003,2.501,3.041
0.949,2.02,2.518,3.065
1.0,2.038,2.535,3.089
