log_e,r,g,b
-4.000000,0.028256,0.613446,0.010000
-3.949000,0.028256,0.613446,0.010000
-3.899000,0.028256,0.613446,0.010000
-3.848000,0.028256,0.613446,0.010000
-3.798000,0.028256,0.613446,0.010000
-3.747000,0.028256,0.613446,0.010000
-3.697000,0.028256,0.613446,0.010000
-3.646000,0.028256,0.613446,0.010000
-3.596000,0.028256,0.613446,0.010000
-3.545000,0.028256,0.613446,0.010000
-3.495000,0.028256,0.613446,0.010000
-3.444000,0.028256,0.613446,0.010000
-3.394000,0.028256,0.613446,0.010000
-3.343000,0.028256,0.613446,0.010000
-3.293000,0.028256,0.613446,0.010000
-3.242000,0.028256,0.613446,0.010000
-3.192000,0.028256,0.613446,0.010000
-3.141000,0.028256,0.613446,0.010000
-3.091000,0.028256,0.613446,0.010000
-3.040000,0.028256,0.613446,0.010000
-2.990000,0.028256,0.613446,0.010000
-2.939000,0.028256,0.613446,0.010000
-2.889000,0.028256,0.613446,0.010000
-2.838000,0.028256,0.613446,0.010000
-2.788000,0.028256,0.613446,0.010000
-2.737000,0.028256,0.613446,0.010000
-2.687000,0.029233,0.614424,0.010000
-2.636000,0.030211,0.615401,0.010000
-2.586000,0.033143,0.618334,0.010000
-2.535000,0.036075,0.621266,0.012113
-2.485000,0.039985,0.625175,0.016022
-2.434000,0.043895,0.629085,0.019932
-2.384000,0.049759,0.634950,0.025797
-2.333000,0.058556,0.643746,0.034593
-2.283000,0.068330,0.653521,0.044368
-2.232000,0.080059,0.665250,0.056097
-2.182000,0.096675,0.681866,0.072713
-2.131000,0.116224,0.701414,0.092261
-2.081000,0.138704,0.723895,0.114742
-2.030000,0.162162,0.747353,0.138200
-1.980000,0.187575,0.772766,0.163613
-1.929000,0.214943,0.800134,0.190981
-1.879000,0.246220,0.831411,0.222258
-1.828000,0.279453,0.864643,0.255490
-1.778000,0.313662,0.898853,0.289700
-1.727000,0.346895,0.932085,0.322932
-1.677000,0.376217,0.961408,0.352255
-1.626000,0.404562,0.989753,0.380600
-1.576000,0.432908,1.018098,0.408945
-1.525000,0.460275,1.045466,0.436313
-1.475000,0.486666,1.071856,0.462703
-1.424000,0.513056,1.098246,0.489093
-1.374000,0.538469,1.123659,0.514506
-1.323000,0.563882,1.149072,0.539919
-1.273000,0.589295,1.174485,0.565332
-1.222000,0.614708,1.199898,0.590745
-1.172000,0.640120,1.225311,0.616158
-1.121000,0.665533,1.250724,0.641571
-1.071000,0.689969,1.275159,0.666006
-1.020000,0.714404,1.299595,0.690442
-0.970000,0.737862,1.323053,0.713900
-0.919000,0.761320,1.346511,0.737358
-0.869000,0.783801,1.368992,0.759839
-0.818000,0.807259,1.392450,0.783297
-0.768000,0.831695,1.416885,0.807732
-0.717000,0.856130,1.441321,0.832168
-0.667000,0.880566,1.465756,0.856603
-0.616000,0.906956,1.492146,0.882993
-0.566000,0.934324,1.519514,0.910361
-0.515000,0.963646,1.548837,0.939684
-0.465000,0.995901,1.581092,0.971939
-0.414000,1.029133,1.614324,1.005171
-0.364000,1.062366,1.647556,1.038403
-0.313000,1.096575,1.681766,1.072613
-0.263000,1.128830,1.714021,1.104868
-0.212000,1.159130,1.744321,1.135168
-0.162000,1.186498,1.771688,1.162535
-0.111000,1.210933,1.796124,1.186971
-0.061000,1.232437,1.817627,1.208474
-0.010000,1.253940,1.839130,1.229977
0.040000,1.274466,1.859656,1.250503
0.091000,1.295969,1.881159,1.272006
0.141000,1.318450,1.903640,1.294487
0.192000,1.342885,1.928075,1.318922
0.242000,1.369275,1.954466,1.345313
0.293000,1.397620,1.982811,1.373658
0.343000,1.425966,2.011156,1.402003
0.394000,1.454311,2.039501,1.430348
0.444000,1.481679,2.066869,1.457716
0.495000,1.509046,2.094237,1.485084
0.545000,1.535437,2.120627,1.511474
0.596000,1.561827,2.147017,1.537864
0.646000,1.588217,2.173408,1.564255
0.697000,1.613630,2.198821,1.589668
0.747000,1.640020,2.225211,1.616058
0.798000,1.665433,2.250624,1.641471
0.848000,1.689869,2.275059,1.665906
0.899000,1.715282,2.300472,1.691319
0.949000,1.739717,2.324908,1.715755
1.000000,1.764153,2.349343,1.740190
