LogE,R,G,B
-4.0,0.243,0.656,0.885
-3.949,0.232,0.654,0.882
-3.899,0.223,0.652,0.878
-3.848,0.215,0.65,0.876
-3.798,0.209,0.648,0.873
-3.747,0.204,0.647,0.871
-3.697,0.2,0.646,0.869
-3.646,0.197,0.645,0.868
-3.596,0.196,0.645,0.866
-3.545,0.195,0.644,0.866
-3.495,0.195,0.644,0.865
-3.444,0.195,0.644,0.865
-3.394,0.197,0.644,0.865
-3.343,0.199,0.644,0.866
-3.293,0.201,0.645,0.866
-3.242,0.204,0.646,0.867
-3.192,0.207,0.646,0.868
-3.141,0.21,0.647,0.87
-3.091,0.214,0.649,0.871
-3.04,0.218,0.65,0.874
-2.99,0.223,0.652,0.88
-2.939,0.229,0.656,0.889
-2.889,0.236,0.662,0.9
-2.838,0.243,0.67,0.912
-2.788,0.251,0.68,0.927
-2.737,0.262,0.69,0.947
-2.687,0.274,0.701,0.972
-2.636,0.287,0.714,1.0
-2.586,0.302,0.73,1.028
-2.535,0.318,0.749,1.057
-2.485,0.335,0.771,1.089
-2.434,0.354,0.795,1.123
-2.384,0.375,0.82,1.158
-2.333,0.398,0.845,1.193
-2.283,0.425,0.871,1.228
-2.232,0.458,0.898,1.262
-2.182,0.495,0.929,1.296
-2.131,0.533,0.961,1.331
-2.081,0.569,0.995,1.366
-2.03,0.601,1.029,1.401
-1.98,0.631,1.062,1.436
-1.929,0.66,1.094,1.47
-1.879,0.689,1.124,1.504
-1.828,0.716,1.152,1.537
-1.778,0.744,1.18,1.57
-1.727,0.77,1.207,1.603
-1.677,0.796,1.234,1.635
-1.626,0.822,1.261,1.668
-1.576,0.848,1.288,1.7
-1.525,0.874,1.316,1.732
-1.475,0.899,1.344,1.763
-1.424,0.925,1.372,1.795
-1.374,0.95,1.401,1.826
-1.323,0.976,1.429,1.857
-1.273,1.002,1.458,1.887
-1.222,1.027,1.485,1.918
-1.172,1.051,1.512,1.948
-1.121,1.075,1.539,1.978
-1.071,1.099,1.564,2.007
-1.02,1.123,1.589,2.035
-0.97,1.147,1.615,2.063
-0.919,1.17,1.641,2.091
-0.869,1.194,1.669,2.119
-0.818,1.218,1.7,2.147
-0.768,1.243,1.733,2.176
-0.717,1.267,1.768,2.205
-0.667,1.293,1.802,2.236
-0.616,1.319,1.835,2.267
-0.566,1.345,1.865,2.3
-0.515,1.373,1.893,2.334
-0.465,1.401,1.918,2.369
-0.414,1.431,1.943,2.404
-0.364,1.462,1.967,2.439
-0.313,1.495,1.991,2.474
-0.263,1.529,2.016,2.509
-0.212,1.564,2.042,2.543
-0.162,1.599,2.068,2.576
-0.111,1.633,2.094,2.609
-0.061,1.667,2.12,2.642
-0.01,1.7,2.147,2.675
0.04,1.731,2.173,2.707
0.091,1.761,2.199,2.74
0.141,1.791,2.224,2.774
0.192,1.82,2.249,2.807
0.242,1.848,2.275,2.842
0.293,1.877,2.301,2.876
0.343,1.904,2.329,2.911
0.394,1.931,2.359,2.945
0.444,1.958,2.391,2.981
0.495,1.984,2.425,3.016
0.545,2.01,2.461,3.051
0.596,2.035,2.497,3.087
0.646,2.059,2.535,3.123
0.697,2.083,2.572,3.159
0.747,2.106,2.609,3.196
0.798,2.129,2.645,3.232
0.848,2.151,2.68,3.269
0.899,2.172,2.714,3.306
0.949,2.193,2.745,3.343
1.0,2.213,2.774,3.38
