log_e,r,g,b
-3.700000,0.121631,0.445056,0.698676
-3.652000,0.128292,0.445056,0.698676
-3.603000,0.133050,0.445056,0.698676
-3.555000,0.136856,0.445056,0.698676
-3.506000,0.137808,0.445056,0.698676
-3.458000,0.137808,0.445056,0.698676
-3.409000,0.135905,0.445056,0.699628
-3.361000,0.133050,0.445056,0.700580
-3.312000,0.130195,0.445056,0.701531
-3.264000,0.129243,0.446959,0.703434
-3.215000,0.129243,0.449814,0.705338
-3.167000,0.131147,0.454572,0.707241
-3.118000,0.134953,0.461234,0.711999
-3.070000,0.139711,0.468847,0.722467
-3.021000,0.145421,0.476459,0.735789
-2.973000,0.152082,0.485024,0.748160
-2.924000,0.157792,0.494540,0.755773
-2.876000,0.165405,0.503105,0.759580
-2.827000,0.174921,0.512621,0.762434
-2.779000,0.186340,0.523088,0.765289
-2.730000,0.197760,0.534508,0.769096
-2.682000,0.211082,0.546879,0.776709
-2.633000,0.224405,0.561153,0.790983
-2.585000,0.237727,0.575427,0.810967
-2.536000,0.252002,0.590653,0.832854
-2.488000,0.267227,0.606830,0.854741
-2.439000,0.283405,0.623959,0.873773
-2.391000,0.300534,0.641088,0.891854
-2.342000,0.318614,0.659169,0.911838
-2.294000,0.337647,0.678201,0.931822
-2.245000,0.355727,0.699137,0.952757
-2.197000,0.374760,0.720072,0.975596
-2.148000,0.393792,0.742911,1.000338
-2.100000,0.412824,0.765750,1.026983
-2.052000,0.432808,0.790492,1.054580
-2.003000,0.452792,0.815234,1.083128
-1.955000,0.472776,0.840927,1.112628
-1.906000,0.493711,0.869476,1.141176
-1.858000,0.514647,0.899927,1.169725
-1.809000,0.535582,0.931330,1.197322
-1.761000,0.556518,0.962734,1.223015
-1.712000,0.578405,0.994137,1.247757
-1.664000,0.600292,1.024588,1.271547
-1.615000,0.621227,1.052185,1.293434
-1.567000,0.643114,1.078830,1.315322
-1.518000,0.665002,1.104524,1.336257
-1.470000,0.686889,1.129266,1.356241
-1.421000,0.709727,1.153056,1.377176
-1.373000,0.732566,1.176847,1.397160
-1.324000,0.755405,1.200637,1.417144
-1.276000,0.778243,1.224427,1.438080
-1.227000,0.801082,1.249169,1.459967
-1.179000,0.823921,1.273911,1.481854
-1.130000,0.846760,1.298653,1.504693
-1.082000,0.869598,1.323395,1.529434
-1.033000,0.892437,1.348137,1.555128
-0.985000,0.915276,1.373830,1.582725
-0.936000,0.938114,1.398572,1.611273
-0.888000,0.960953,1.423314,1.639822
-0.839000,0.982840,1.448056,1.668370
-0.791000,1.004727,1.473750,1.696918
-0.742000,1.027566,1.497540,1.724515
-0.694000,1.049453,1.522282,1.750209
-0.645000,1.072292,1.546072,1.774951
-0.597000,1.095131,1.570814,1.798741
-0.548000,1.117018,1.594605,1.822531
-0.500000,1.139856,1.618395,1.845370
-0.452000,1.161743,1.642185,1.868209
-0.403000,1.183631,1.665024,1.891047
-0.355000,1.205518,1.688814,1.913886
-0.306000,1.227405,1.712605,1.936725
-0.258000,1.249292,1.736395,1.960515
-0.209000,1.270227,1.760185,1.983354
-0.161000,1.291163,1.783976,2.007144
-0.112000,1.311147,1.807766,2.029983
-0.064000,1.331131,1.831556,2.053773
-0.015000,1.351114,1.856298,2.076612
0.033000,1.370147,1.880088,2.099451
0.082000,1.389179,1.904830,2.121338
0.130000,1.407260,1.929572,2.143225
0.179000,1.425340,1.953363,2.164160
0.227000,1.442469,1.978105,2.185096
0.276000,1.460550,2.002847,2.205080
0.324000,1.476727,2.026637,2.226015
0.373000,1.493856,2.051379,2.245999
0.421000,1.510034,2.077072,2.267886
0.470000,1.526211,2.102766,2.289773
0.518000,1.541437,2.126556,2.314515
0.567000,1.557614,2.149395,2.337354
0.615000,1.572840,2.168427,2.358289
0.664000,1.587114,2.185556,2.376370
0.712000,1.601389,2.201734,2.394451
0.761000,1.614711,2.216008,2.410628
0.809000,1.627082,2.230282,2.425854
0.858000,1.637550,2.244556,2.439176
0.906000,1.648018,2.257879,2.450596
0.955000,1.658485,2.272153,2.461063
1.003000,1.667050,2.285476,2.469628
1.052000,1.675614,2.298798,2.477241
1.100000,1.683227,2.311169,2.483902
