LogE,R,G,B
-3.0,2.309,2.116,1.955
-2.97,2.308,2.116,1.955
-2.939,2.306,2.116,1.955
-2.909,2.304,2.116,1.955
-2.879,2.301,2.116,1.954
-2.848,2.299,2.116,1.954
-2.818,2.296,2.116,1.954
-2.788,2.293,2.116,1.953
-2.758,2.29,2.116,1.953
-2.727,2.287,2.116,1.952
-2.697,2.284,2.116,1.951
-2.667,2.28,2.116,1.95
-2.636,2.276,2.116,1.95
-2.606,2.272,2.116,1.949
-2.576,2.267,2.116,1.947
-2.545,2.263,2.116,1.944
-2.515,2.258,2.116,1.939
-2.485,2.252,2.114,1.933
-2.455,2.247,2.111,1.926
-2.424,2.241,2.108,1.918
-2.394,2.234,2.103,1.91
-2.364,2.227,2.098,1.901
-2.333,2.219,2.093,1.891
-2.303,2.21,2.087,1.882
-2.273,2.201,2.081,1.872
-2.242,2.191,2.074,1.861
-2.212,2.181,2.066,1.848
-2.182,2.171,2.055,1.832
-2.152,2.16,2.043,1.814
-2.121,2.146,2.029,1.791
-2.091,2.129,2.012,1.754
-2.061,2.105,1.992,1.704
-2.03,2.057,1.966,1.646
-2.0,1.996,1.934,1.585
-1.97,1.933,1.898,1.527
-1.939,1.867,1.856,1.472
-1.909,1.796,1.801,1.415
-1.879,1.722,1.734,1.356
-1.848,1.644,1.66,1.296
-1.818,1.565,1.581,1.236
-1.788,1.487,1.503,1.175
-1.758,1.409,1.421,1.114
-1.727,1.331,1.332,1.053
-1.697,1.25,1.244,0.992
-1.667,1.167,1.168,0.933
-1.636,1.085,1.101,0.874
-1.606,1.004,1.039,0.813
-1.576,0.927,0.98,0.749
-1.545,0.854,0.918,0.685
-1.515,0.787,0.852,0.622
-1.485,0.72,0.779,0.562
-1.455,0.655,0.704,0.507
-1.424,0.594,0.634,0.459
-1.394,0.537,0.573,0.418
-1.364,0.488,0.517,0.385
-1.333,0.447,0.462,0.356
-1.303,0.41,0.41,0.33
-1.273,0.375,0.362,0.306
-1.242,0.342,0.319,0.283
-1.212,0.312,0.284,0.259
-1.182,0.284,0.256,0.234
-1.152,0.259,0.233,0.21
-1.121,0.238,0.211,0.188
-1.091,0.219,0.191,0.17
-1.061,0.204,0.172,0.158
-1.03,0.188,0.156,0.152
-1.0,0.173,0.141,0.148
-0.97,0.159,0.13,0.145
-0.939,0.146,0.121,0.142
-0.909,0.134,0.116,0.14
-0.879,0.123,0.113,0.138
-0.848,0.113,0.11,0.136
-0.818,0.106,0.108,0.134
-0.788,0.1,0.106,0.131
-0.758,0.097,0.104,0.128
-0.727,0.097,0.102,0.125
-0.697,0.097,0.101,0.122
-0.667,0.098,0.099,0.118
-0.636,0.098,0.098,0.115
-0.606,0.099,0.097,0.111
-0.576,0.1,0.096,0.108
-0.545,0.101,0.094,0.106
-0.515,0.102,0.093,0.104
-0.485,0.102,0.092,0.102
-0.455,0.103,0.09,0.101
-0.424,0.103,0.088,0.1
-0.394,0.103,0.086,0.1
-0.364,0.103,0.084,0.099
-0.333,0.103,0.082,0.098
-0.303,0.103,0.08,0.098
-0.273,0.103,0.079,0.097
-0.242,0.103,0.078,0.096
-0.212,0.103,0.077,0.095
-0.182,0.103,0.077,0.094
-0.152,0.103,0.077,0.093
-0.121,0.103,0.077,0.092
-0.091,0.102,0.077,0.091
-0.061,0.096,0.077,0.09
-0.03,0.088,0.077,0.089
0.0,0.081,0.077,0.088
